"","date","mmwr_year","mmwr_week","state","state_name","pop","region","region_name","cases","hosp","booster","series","deaths"
"1",2020-01-25,2020,4,"AK","Alaska",732441,"10","Pacific Northwest",0,0,0,0,0
"2",2020-02-01,2020,5,"AK","Alaska",732441,"10","Pacific Northwest",0,0,0,0,0
"3",2020-02-08,2020,6,"AK","Alaska",732441,"10","Pacific Northwest",0,0,0,0,0
"4",2020-02-15,2020,7,"AK","Alaska",732441,"10","Pacific Northwest",0,0,0,0,0
"5",2020-02-22,2020,8,"AK","Alaska",732441,"10","Pacific Northwest",0,0,0,0,0
"6",2020-02-29,2020,9,"AK","Alaska",732441,"10","Pacific Northwest",0,0,0,0,0
"7",2020-03-07,2020,10,"AK","Alaska",732441,"10","Pacific Northwest",0,0,0,0,0
"8",2020-03-14,2020,11,"AK","Alaska",732441,"10","Pacific Northwest",11,0,0,0,0
"9",2020-03-21,2020,12,"AK","Alaska",732441,"10","Pacific Northwest",52,0,0,0,0
"10",2020-03-28,2020,13,"AK","Alaska",732441,"10","Pacific Northwest",86,0,0,0,0
"11",2020-04-04,2020,14,"AK","Alaska",732441,"10","Pacific Northwest",86,0,0,0,0
"12",2020-04-11,2020,15,"AK","Alaska",732441,"10","Pacific Northwest",65,0,0,0,0
"13",2020-04-18,2020,16,"AK","Alaska",732441,"10","Pacific Northwest",37,0,0,0,0
"14",2020-04-25,2020,17,"AK","Alaska",732441,"10","Pacific Northwest",18,0,0,0,0
"15",2020-05-02,2020,18,"AK","Alaska",732441,"10","Pacific Northwest",19,0,0,0,0
"16",2020-05-09,2020,19,"AK","Alaska",732441,"10","Pacific Northwest",15,0,0,0,0
"17",2020-05-16,2020,20,"AK","Alaska",732441,"10","Pacific Northwest",15,0,0,0,0
"18",2020-05-23,2020,21,"AK","Alaska",732441,"10","Pacific Northwest",23,0,0,0,0
"19",2020-05-30,2020,22,"AK","Alaska",732441,"10","Pacific Northwest",91,0,0,0,0
"20",2020-06-06,2020,23,"AK","Alaska",732441,"10","Pacific Northwest",98,0,0,0,0
"21",2020-06-13,2020,24,"AK","Alaska",732441,"10","Pacific Northwest",97,0,0,0,0
"22",2020-06-20,2020,25,"AK","Alaska",732441,"10","Pacific Northwest",108,0,0,0,0
"23",2020-06-27,2020,26,"AK","Alaska",732441,"10","Pacific Northwest",199,0,0,0,0
"24",2020-07-04,2020,27,"AK","Alaska",732441,"10","Pacific Northwest",253,0,0,0,0
"25",2020-07-11,2020,28,"AK","Alaska",732441,"10","Pacific Northwest",421,0,0,0,0
"26",2020-07-18,2020,29,"AK","Alaska",732441,"10","Pacific Northwest",508,0,0,0,0
"27",2020-07-25,2020,30,"AK","Alaska",732441,"10","Pacific Northwest",684,0,0,0,0
"28",2020-08-01,2020,31,"AK","Alaska",732441,"10","Pacific Northwest",601,5,0,0,0
"29",2020-08-08,2020,32,"AK","Alaska",732441,"10","Pacific Northwest",491,28,0,0,0
"30",2020-08-15,2020,33,"AK","Alaska",732441,"10","Pacific Northwest",558,22,0,0,0
"31",2020-08-22,2020,34,"AK","Alaska",732441,"10","Pacific Northwest",465,31,0,0,0
"32",2020-08-29,2020,35,"AK","Alaska",732441,"10","Pacific Northwest",474,31,0,0,0
"33",2020-09-05,2020,36,"AK","Alaska",732441,"10","Pacific Northwest",547,35,0,0,0
"34",2020-09-12,2020,37,"AK","Alaska",732441,"10","Pacific Northwest",529,30,0,0,0
"35",2020-09-19,2020,38,"AK","Alaska",732441,"10","Pacific Northwest",642,38,0,0,0
"36",2020-09-26,2020,39,"AK","Alaska",732441,"10","Pacific Northwest",833,35,0,0,0
"37",2020-10-03,2020,40,"AK","Alaska",732441,"10","Pacific Northwest",1020,33,0,0,0
"38",2020-10-10,2020,41,"AK","Alaska",732441,"10","Pacific Northwest",1341,38,0,0,0
"39",2020-10-17,2020,42,"AK","Alaska",732441,"10","Pacific Northwest",1538,62,0,0,10
"40",2020-10-24,2020,43,"AK","Alaska",732441,"10","Pacific Northwest",2614,54,0,0,0
"41",2020-10-31,2020,44,"AK","Alaska",732441,"10","Pacific Northwest",2727,69,0,0,10
"42",2020-11-07,2020,45,"AK","Alaska",732441,"10","Pacific Northwest",3598,91,0,0,0
"43",2020-11-14,2020,46,"AK","Alaska",732441,"10","Pacific Northwest",4316,121,0,0,16
"44",2020-11-21,2020,47,"AK","Alaska",732441,"10","Pacific Northwest",4112,121,0,0,15
"45",2020-11-28,2020,48,"AK","Alaska",732441,"10","Pacific Northwest",4524,154,0,0,21
"46",2020-12-05,2020,49,"AK","Alaska",732441,"10","Pacific Northwest",4622,134,0,0,31
"47",2020-12-12,2020,50,"AK","Alaska",732441,"10","Pacific Northwest",3417,102,0,0,24
"48",2020-12-19,2020,51,"AK","Alaska",732441,"10","Pacific Northwest",2223,100,0,46,20
"49",2020-12-26,2020,52,"AK","Alaska",732441,"10","Pacific Northwest",1724,60,0,69,24
"50",2021-01-02,2020,53,"AK","Alaska",732441,"10","Pacific Northwest",2026,69,0,114,0
"51",2021-01-09,2021,1,"AK","Alaska",732673,"10","Pacific Northwest",1973,76,0,8396,13
"52",2021-01-16,2021,2,"AK","Alaska",732673,"10","Pacific Northwest",1377,54,0,13560,0
"53",2021-01-23,2021,3,"AK","Alaska",732673,"10","Pacific Northwest",1181,35,0,20111,0
"54",2021-01-30,2021,4,"AK","Alaska",732673,"10","Pacific Northwest",946,29,0,30926,0
"55",2021-02-06,2021,5,"AK","Alaska",732673,"10","Pacific Northwest",989,25,0,54621,0
"56",2021-02-13,2021,6,"AK","Alaska",732673,"10","Pacific Northwest",807,26,0,82561,0
"57",2021-02-20,2021,7,"AK","Alaska",732673,"10","Pacific Northwest",885,37,0,103188,0
"58",2021-02-27,2021,8,"AK","Alaska",732673,"10","Pacific Northwest",876,33,0,119627,0
"59",2021-03-06,2021,9,"AK","Alaska",732673,"10","Pacific Northwest",910,30,0,142789,0
"60",2021-03-13,2021,10,"AK","Alaska",732673,"10","Pacific Northwest",914,31,0,159723,0
"61",2021-03-20,2021,11,"AK","Alaska",732673,"10","Pacific Northwest",944,42,0,175968,0
"62",2021-03-27,2021,12,"AK","Alaska",732673,"10","Pacific Northwest",1186,33,0,193406,0
"63",2021-04-03,2021,13,"AK","Alaska",732673,"10","Pacific Northwest",1208,45,0,219138,0
"64",2021-04-10,2021,14,"AK","Alaska",732673,"10","Pacific Northwest",1113,43,0,252436,0
"65",2021-04-17,2021,15,"AK","Alaska",732673,"10","Pacific Northwest",1146,33,0,272790,0
"66",2021-04-24,2021,16,"AK","Alaska",732673,"10","Pacific Northwest",1042,50,0,285570,0
"67",2021-05-01,2021,17,"AK","Alaska",732673,"10","Pacific Northwest",731,48,0,296198,0
"68",2021-05-08,2021,18,"AK","Alaska",732673,"10","Pacific Northwest",565,33,0,305121,13
"69",2021-05-15,2021,19,"AK","Alaska",732673,"10","Pacific Northwest",453,31,0,313577,10
